date,spend_Prospecting_jump,spend_Prospecting_non_jump,spend_Retargeting_jump,spend_Retargeting_non_jump,impressions_Prospecting_jump,impressions_Prospecting_non_jump,impressions_Retargeting_jump,impressions_Retargeting_non_jump,aws_purchases,aws_revenue
2021-01-01,0.0,50179.5,0.0,2513.08,0.0,1076303.0,0.0,54874.0,378.0,73363.96
2021-01-02,0.0,55232.91,0.0,2534.51,0.0,1154621.0,0.0,55562.0,419.0,75910.74
2021-01-03,0.0,43370.97,0.0,3724.27,0.0,912977.0,0.0,72705.0,248.0,49505.97
2021-01-04,0.0,30094.1,0.0,3888.6499999999996,0.0,681362.0,0.0,80308.0,195.0,35989.8
2021-01-05,0.0,27818.36,0.0,3971.8399999999997,0.0,618683.0,0.0,78503.0,157.0,30652.829999999998
2021-01-06,0.0,24885.64,0.0,2274.96,0.0,734534.0,0.0,54112.0,117.0,22576.11
2021-01-07,0.0,25701.37,0.0,2057.28,0.0,757348.0,0.0,46060.0,146.0,28208.75
2021-01-08,0.0,28527.63,0.0,3606.4500000000003,0.0,719019.0,0.0,71926.0,198.0,36492.44
2021-01-09,0.0,34786.45,0.0,5613.06,0.0,849880.0,0.0,99767.0,230.0,42959.89
2021-01-10,0.0,38409.19,0.0,5306.41,0.0,934584.0,0.0,88052.0,242.0,42912.98
2021-01-11,0.0,28130.64,0.0,3682.42,0.0,697805.0,0.0,70800.0,198.0,35875.23
2021-01-12,0.0,33095.89,0.0,4419.65,0.0,773061.0,0.0,67398.0,219.0,38546.7
2021-01-13,0.0,28968.6,0.0,3545.65,0.0,645978.0,0.0,48186.0,190.0,34671.92
2021-01-14,0.0,28856.23,0.0,2699.7400000000002,0.0,576013.0,0.0,38218.0,225.0,38284.159999999996
2021-01-15,0.0,33761.62,0.0,3001.11,0.0,635359.0,0.0,40085.0,235.0,40047.61
2021-01-16,0.0,38469.8,0.0,3058.67,0.0,708567.0,0.0,37626.0,283.0,49939.85
2021-01-17,0.0,44753.23,0.0,3318.83,0.0,868523.0,0.0,43103.0,334.0,58177.42
2021-01-18,0.0,41583.65,0.0,5197.2,0.0,1050895.0,0.0,91341.0,322.0,53381.0
2021-01-19,0.0,34918.99,0.0,4481.88,0.0,980773.0,0.0,76929.0,245.0,41220.16
2021-01-20,0.0,25758.19,0.0,4129.53,0.0,839531.0,0.0,79395.0,173.0,30192.27
2021-01-21,0.0,26853.78,0.0,5281.04,0.0,826338.0,0.0,105271.0,201.0,33959.72
2021-01-22,0.0,27087.32,0.0,5700.52,0.0,744439.0,0.0,110282.0,224.0,34459.55
2021-01-23,0.0,42137.77,0.0,7748.14,0.0,1185722.0,0.0,139527.0,365.0,61757.159999999996
2021-01-24,0.0,47243.0,0.0,12366.720000000001,0.0,1449517.0,0.0,231619.0,349.0,59355.22
2021-01-25,0.0,37486.38,0.0,8360.17,0.0,839112.0,0.0,156173.0,267.0,42797.409999999996
2021-01-26,0.0,34022.08,0.0,4437.65,0.0,769312.0,0.0,75476.0,242.0,41036.34
2021-01-27,0.0,27393.45,0.0,4133.68,0.0,675199.0,0.0,66532.0,197.0,29095.4
2021-01-28,0.0,20719.36,0.0,2384.57,0.0,464402.0,0.0,41291.0,158.0,26820.329999999998
2021-01-29,0.0,19783.02,0.0,2594.65,0.0,449319.0,0.0,41172.0,114.0,17967.19
2021-01-30,0.0,35529.04,0.0,3274.75,0.0,770219.0,0.0,62762.0,282.0,45666.89
2021-01-31,0.0,32443.329999999998,0.0,4500.06,0.0,787513.0,0.0,91603.0,261.0,45531.24
2021-02-01,0.0,29641.46,0.0,3009.2000000000003,0.0,746216.0,0.0,68655.0,201.0,33790.78
